objectid,reg,dep,cv,codgeo,libgeo,p21_pop
114579,73,31,3199,31555,Toulouse,504078
139962,93,06,0699,06088,Nice,348085
128203,52,44,4496,44109,Nantes,323204
140072,91,34,3499,34172,Montpellier,302454
125844,42,67,6799,67482,Strasbourg,291313
127920,72,33,3397,33063,Bordeaux,261804
120640,31,59,5997,59350,Lille,236710
115582,11,75,75,75115,Paris 15e  Arrondissement,227746
138083,53,35,3598,35238,Rennes,225081
144614,11,75,75,75120,Paris 20e  Arrondissement,189805
119751,11,75,75,75118,Paris 18e  Arrondissement,188446
130947,11,75,75,75119,Paris 19e  Arrondissement,181616
123209,93,83,8399,83137,Toulon,180452
115939,21,51,5199,51454,Reims,179380
137291,11,75,75,75113,Paris 13e  Arrondissement,178350
141791,82,42,4299,42218,Saint-Étienne,172718
138397,23,76,7696,76351,Le Havre,166058
126182,11,75,75,75117,Paris 17e  Arrondissement,164413
134025,11,75,75,75116,Paris 16e  Arrondissement,162061
111232,26,21,2199,21231,Dijon,159346
118521,82,38,3898,38185,Grenoble,157477
128018,52,49,4998,49007,Angers,157175
131904,82,69,6900,69266,Villeurbanne,156928
141657,04,974,97493,974411,Saint-Denis,154765
113332,91,30,3099,30189,Nîmes,148104
122254,93,13,1397,13001,Aix-en-Provence,147478
141310,83,63,6399,63113,Clermont-Ferrand,147327
116317,52,72,7299,72181,Le Mans,145004
129227,11,75,75,75111,Paris 11e  Arrondissement,142583
129569,11,75,75,75112,Paris 12e  Arrondissement,140954
121616,53,29,2998,29019,Brest,139619
133328,24,37,3799,37261,Tours,137658
136540,11,75,75,75114,Paris 14e  Arrondissement,136368
137067,22,80,8099,80021,Amiens,133625
136465,82,74,7499,74010,Annecy,131715
131358,74,87,8799,87085,Limoges,129760
128781,41,57,5798,57463,Metz,120874
119043,11,92,9296,92012,Boulogne-Billancourt,119808
115904,91,66,6699,66136,Perpignan,119656
113023,43,25,2599,25056,Besançon,119198
113767,24,45,4599,45234,Orléans,116617
129899,23,76,7697,76540,Rouen,114083
112094,11,93,9399,93066,Saint-Denis,113942
140469,11,93,9398,93048,Montreuil,111455
113530,25,14,1499,14118,Caen,108200
135203,11,95,9598,95018,Argenteuil,107221
127858,42,68,6899,68224,Mulhouse,106341
115330,04,974,97497,974415,Saint-Paul,105240
124595,41,54,5499,54395,Nancy,104260
121360,82,69,6900,69383,Lyon 3e  Arrondissement,101302
128478,31,59,5999,59599,Tourcoing,99011
130415,31,59,5998,59512,Roubaix,98892
118855,11,92,9299,92050,Nanterre,97351
112272,11,94,9499,94081,Vitry-sur-Seine,96205
111681,11,94,9494,94028,Créteil,92989
111338,93,13,1398,13213,Marseille 13e  Arrondissement,92261
123023,93,84,8499,84007,Avignon,90330
141541,54,86,8699,86194,Poitiers,90240
114901,11,93,9301,93001,Aubervilliers,90071
128582,11,92,9295,92004,Asnières-sur-Seine,89662
126801,11,92,9297,92025,Colombes,88870
123902,31,59,5996,59183,Dunkerque,86788
133224,82,69,6900,69388,Lyon 8e  Arrondissement,86326
128915,11,93,9302,93005,Aulnay-sous-Bois,86135
136800,82,69,6900,69387,Lyon 7e  Arrondissement,85897
141924,04,974,97498,974416,Saint-Pierre,84077
124741,11,78,7899,78646,Versailles,83587
124846,11,75,75,75110,Paris 10e  Arrondissement,83543
139000,93,13,1398,13208,Marseille 8e  Arrondissement,82609
119855,04,974,97499,974422,Le Tampon,81943
120368,11,92,9298,92026,Courbevoie,81516
121911,91,34,3498,34032,Béziers,80341
142509,93,13,1398,13215,Marseille 15e  Arrondissement,79656
132463,54,17,1799,17300,La Rochelle,78535
133960,11,92,9222,92063,Rueil-Malmaison,78186
127112,25,50,5098,50129,Cherbourg-Octeville,77808
138148,11,94,9493,94017,Champigny-sur-Marne,77724
130066,93,13,1398,13209,Marseille 9e  Arrondissement,77106
111934,72,64,6499,64445,Pau,77066
140499,72,33,3398,33281,Mérignac,75729
114814,11,94,9496,94068,Saint-Maur-des-Fossés,75441
143517,93,06,0694,06004,Antibes,75130
122241,02,972,972,972209,Fort-de-France,74921
116203,94,2A,2A98,2A004,Ajaccio,73822
112694,93,06,0696,06029,Cannes,73255
123322,52,44,4499,44184,Saint-Nazaire,72057
135612,11,93,9396,93029,Drancy,71363
120077,11,93,9314,93051,Noisy-le-Grand,70374
112666,11,92,9215,92040,Issy-les-Moulineaux,68580
131218,11,95,9599,95127,Cergy,68348
111195,11,92,9216,92044,Levallois-Perret,68009
112265,42,68,6898,68066,Colmar,67730
117128,31,62,6298,62193,Calais,67380
123155,72,33,3399,33318,Pessac,66760
135498,82,69,6900,69259,Vénissieux,66363
134709,11,91,9109,91228,Évry,66177
126354,11,92,9209,92024,Clichy,64849
136303,82,26,2699,26362,Valence,64483
138502,11,94,9411,94041,Ivry-sur-Seine,64001
142627,24,18,1898,18033,Bourges,63702
