"Ville","Région Belgique","Response","Sandwicherie p1","Distance to Tournai","Distance à Tournai","Distance à Tournai Distance","Write to Other Table"
"Aalbeke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","75,90 km","75,90 km",
"Aalst","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","75,90 km","75,90 km",
"Aalst (Limburg)","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","Aucune distance trouvée","Aucune distance trouvée",
"Aalter","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","Aucune distance trouvée","Aucune distance trouvée",
"Aarschot","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","Aucune distance trouvée","Aucune distance trouvée",
"Aarsele","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","Aucune distance trouvée","Aucune distance trouvée",
"Aartrijke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","Aucune distance trouvée","Aucune distance trouvée",
"Aartselaar","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","5,966.75 km","5,966.75 km",
"Abée","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte de Marche 24, 4557 Tinlot,BEL","Aucune distance trouvée","Aucune distance trouvée","Created 10 records in table ""Full_Table"""
"Abolens","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Marais 7, 4280 Hannut,BEL","Aucune distance trouvée","Aucune distance trouvée","Created 10 records in table ""Full_Table"""
"Achel","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","Aucune distance trouvée","Aucune distance trouvée",
"Achêne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Parc Industriel d'Achêne 6, 5590 Ciney,BEL","153,74 km","153,74 km","Created 7 records in table ""Full_Table"""
"Achet","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. Schlogel 115f, 5590 Ciney,BEL","85,85 km","85,85 km","Created 10 records in table ""Full_Table"""
"Acosse","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Forge 4, 5380 Fernelmont,BEL","153,74 km","153,74 km","Created 10 records in table ""Full_Table"""
"Acoz","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Pl. du Perron 2, 6280 Gerpinnes,BEL","73,01 km","73,01 km","Created 10 records in table ""Full_Table"""
"Adegem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Adinkerke","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Affligem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Afsnee","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Agimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de France 134Bis, 5544,BEL","4.380,29 km","4.380,29 km","Created 9 records in table ""Full_Table"""
"Aineffe","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Borlez 41A, 4530 Villers-le-Bouillet,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Aische-en-Refail","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Autoroute Namur-Bruxelles, E411, 5310,BEL","18 km","18 km","Created 5 records in table ""Full_Table"""
"Aiseau","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Président John Fitzgerald Kennedy 136, 6250 Aiseau-Presles,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aiseau-Presles","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Président John Fitzgerald Kennedy 136, 6250 Aiseau-Presles,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Aisemont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Donat Masson 9, 5070 Fosses-la-Ville,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Alken","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Alle","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue La Ringe 41, 5550 Vresse-sur-Semois,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Alleur","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Av. du Progrès 3, 4432 Ans,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Alsemberg","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Alveringem","flandres","flandres",,"https://fr.distance.to/Tournai,BEL/","4.380,29 km","4.380,29 km",
"Amay","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. Roosevelt 18, 4540 Amay,BEL","4.380,29 km","4.380,29 km","Created 10 records in table ""Full_Table"""
"Amberloup","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Vall. de L'Ourthe 66, 6680 Sainte-Ode,BEL","24 km","24 km","Created 5 records in table ""Full_Table"""
"Amblève","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Am bhf 28, 4770 Amel,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Ambly","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Richard Heintz 14, 6950 Nassogne,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Ambresin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Baron d'Obin 100, 4219 Wasseiges,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Amel","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Zum Höchst 6, 4771 Amel,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Amonines","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de la Paix 2, 6997 Érezée,BEL","0 km","0 km","Created 10 records in table ""Full_Table"""
"Amougies","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue Caumont 19, 7750 Mont-de-l'Enclus,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Ampsin","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. Roosevelt 18, 4540 Amay,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Andenne","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue de Tramaka 39, 5300 Andenne,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Anderlecht","bruxelles-capitale","bruxelles-capitale",,"https://fr.distance.to/Tournai,BEL/","18 km","18 km",
"Anderlues","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Chau. de Mons 271, 6150 Anderlues,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Andrimont","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Progres 8, 4821 Dison,BEL","24 km","24 km","Created 10 records in table ""Full_Table"""
"Angleur","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rte du Condroz 490/D, 4031 Liège,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Angre","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Commerce, 7370 Dour,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
"Angreau","wallonie","wallonie","Status Code: 200","https://fr.distance.to/Tournai,BEL/Rue du Partiau 8, 7387 Honnelles,BEL","18 km","18 km","Created 10 records in table ""Full_Table"""
